epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.29225,1.97264,4.6996,1.7481,0.00071,0.08222,0.00062,0.00026,2.08876,4.28082,2.04918,0.00014443,0.00014443,0.00014443
2,6.8954,1.48837,3.98305,1.38777,0.00192,0.2604,0.06451,0.05111,1.6329,3.9718,1.53414,0.000297,0.000297,0.000297
3,9.20246,1.23205,3.29338,1.19464,0.00466,0.51131,0.06261,0.0409,1.58205,3.81924,1.45428,0.000446491,0.000446491,0.000446491
4,11.4291,1.19603,2.73939,1.16401,0.00396,0.44202,0.0467,0.03419,1.69471,3.71724,1.52499,0.000592902,0.000592902,0.000592902
5,13.5833,1.22004,2.47064,1.14249,0.00534,0.53657,0.07723,0.05096,1.69837,3.53359,1.5707,0.000736233,0.000736233,0.000736233
6,15.9818,1.22184,2.46403,1.18292,0.00657,0.58101,0.13197,0.09075,1.65859,3.3928,1.59525,0.000876485,0.000876485,0.000876485
7,18.1361,1.15616,2.45676,1.14559,0.45686,0.13173,0.1383,0.09682,1.84695,3.35837,1.80379,0.00101366,0.00101366,0.00101366
8,20.3324,1.12947,2.18648,1.11759,0.48826,0.27872,0.21048,0.12693,1.75323,3.14677,1.70655,0.00103401,0.00103401,0.00103401
9,22.5188,1.1107,2.15902,1.12456,0.30296,0.19399,0.25795,0.14409,1.79194,2.91106,1.75062,0.00102301,0.00102301,0.00102301
10,24.7271,1.13592,2.05805,1.12782,0.20523,0.26036,0.25535,0.15373,1.66419,2.50903,1.6185,0.00101201,0.00101201,0.00101201
11,26.8679,1.15879,2.20947,1.17426,0.28529,0.18747,0.23905,0.14012,1.66237,2.748,1.5825,0.00100101,0.00100101,0.00100101
12,29.0328,1.1181,2.0569,1.13452,0.15266,0.13511,0.20952,0.13711,1.6149,3.06521,1.52582,0.000990012,0.000990012,0.000990012
13,31.1332,1.09857,2.01061,1.11098,0.25371,0.27486,0.20965,0.15006,1.55517,2.64497,1.51663,0.000979013,0.000979013,0.000979013
14,33.1859,1.0843,1.9476,1.10227,0.23217,0.24396,0.24758,0.14242,1.70794,2.5587,1.59857,0.000968014,0.000968014,0.000968014
15,35.4589,1.05352,1.94068,1.12653,0.23085,0.24909,0.24294,0.14137,1.7605,2.81361,1.60193,0.000957015,0.000957015,0.000957015
16,37.5779,1.07462,1.7882,1.14621,0.73102,0.19035,0.26053,0.18428,1.54391,2.54882,1.51401,0.000946016,0.000946016,0.000946016
17,39.6732,1.0333,1.80309,1.11392,0.37224,0.20966,0.26848,0.19009,1.53202,2.53544,1.5458,0.000935018,0.000935018,0.000935018
18,41.7452,0.97509,1.67449,1.07679,0.28195,0.34202,0.23758,0.15725,1.61872,2.53738,1.59698,0.000924019,0.000924019,0.000924019
19,43.798,1.1125,1.80519,1.11624,0.33092,0.25717,0.23081,0.15001,1.75326,2.50733,1.70502,0.00091302,0.00091302,0.00091302
20,45.8871,1.02424,1.62895,1.08371,0.24081,0.22788,0.20055,0.13916,1.68688,2.56955,1.61734,0.000902021,0.000902021,0.000902021
21,47.9968,0.9811,1.50194,1.05421,0.27601,0.21677,0.20853,0.131,1.63767,2.71739,1.48711,0.000891022,0.000891022,0.000891022
22,50.103,1.0166,1.48345,1.07829,0.18593,0.20204,0.14605,0.09853,1.6076,2.68967,1.43876,0.000880023,0.000880023,0.000880023
23,52.2006,1.04469,1.67907,1.08971,0.28521,0.2097,0.1789,0.10302,1.55747,2.65478,1.41926,0.000869024,0.000869024,0.000869024
24,54.2893,1.00577,1.55908,1.06732,0.24719,0.21677,0.20012,0.12489,1.59517,2.62238,1.4278,0.000858025,0.000858025,0.000858025
25,56.3961,0.96909,1.37816,1.014,0.2823,0.20679,0.2299,0.13836,1.66637,2.49497,1.42663,0.000847026,0.000847026,0.000847026
26,58.4279,0.9675,1.51046,1.05829,0.29138,0.37131,0.26607,0.16167,1.7278,2.10734,1.48721,0.000836027,0.000836027,0.000836027
27,60.5597,0.96062,1.38243,1.0506,0.29688,0.30465,0.28058,0.1782,1.60516,2.05103,1.43166,0.000825029,0.000825029,0.000825029
