epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.62413,1.77271,4.74687,1.60669,0.0012,0.1204,0.00279,0.00179,2.01111,4.268,1.99847,0.00014443,0.00014443,0.00014443
2,7.1156,1.34438,4.11474,1.34111,0.00216,0.27232,0.08499,0.07132,1.47535,4.01395,1.39756,0.000290071,0.000290071,0.000290071
3,9.23632,1.20905,3.23227,1.17938,0.0036,0.51051,0.12255,0.10112,1.48055,3.79633,1.43256,0.000425446,0.000425446,0.000425446
4,11.33,1.1567,2.77399,1.14958,0.00479,0.49798,0.11991,0.09898,1.52991,3.71038,1.48803,0.000550556,0.000550556,0.000550556
5,13.4014,1.15643,2.5265,1.11361,0.00504,0.46202,0.14027,0.10962,1.5491,3.56204,1.47597,0.0006654,0.0006654,0.0006654
6,15.5091,1.12325,2.45187,1.1349,0.50323,0.06,0.11965,0.08389,1.54569,3.47673,1.46874,0.000769979,0.000769979,0.000769979
7,17.5386,1.12811,2.40869,1.12084,0.46861,0.04,0.10508,0.0699,1.54198,3.45966,1.4452,0.000864291,0.000864291,0.000864291
8,19.5875,1.11874,2.35963,1.11926,0.55514,0.1385,0.19084,0.12222,1.54111,3.05317,1.44326,0.000854359,0.000854359,0.000854359
9,21.6055,1.03075,2.20422,1.0947,0.73722,0.14,0.16265,0.11427,1.57779,3.00049,1.41734,0.000817696,0.000817696,0.000817696
10,23.6708,1.11635,2.21365,1.11527,0.42905,0.16222,0.18784,0.1295,1.52135,2.95128,1.40757,0.000781033,0.000781033,0.000781033
11,25.6844,1.1247,2.29121,1.11749,0.42188,0.16222,0.22641,0.15231,1.543,3.04148,1.45527,0.00074437,0.00074437,0.00074437
12,27.7817,1.07061,2.0318,1.1166,0.31694,0.20667,0.21872,0.16538,1.59367,2.92438,1.52279,0.000707707,0.000707707,0.000707707
13,29.901,1.04923,2.06587,1.07846,0.33789,0.25414,0.23388,0.19084,1.51399,2.60461,1.47282,0.000671044,0.000671044,0.000671044
14,31.9285,1.02454,1.9524,1.0582,0.29819,0.18525,0.22638,0.17767,1.57799,2.88396,1.52184,0.000634381,0.000634381,0.000634381
15,34.0831,1.02064,1.96842,1.12904,0.38112,0.21098,0.23893,0.18751,1.52253,3.06737,1.49846,0.000597718,0.000597718,0.000597718
16,36.127,1.02756,1.84353,1.09631,0.35686,0.30597,0.31076,0.23201,1.49697,2.61968,1.44561,0.000561055,0.000561055,0.000561055
17,38.1792,1.01914,1.83611,1.07791,0.4584,0.29121,0.30851,0.21389,1.53592,2.35886,1.49609,0.000524392,0.000524392,0.000524392
18,40.2643,1.00093,1.73721,1.06983,0.60706,0.30512,0.32602,0.21463,1.5005,2.10729,1.45801,0.000487729,0.000487729,0.000487729
19,42.3103,0.95643,1.73863,1.07614,0.51587,0.31273,0.34078,0.22255,1.51188,2.11439,1.45842,0.000451066,0.000451066,0.000451066
20,44.4182,0.8935,1.68867,1.01724,0.48527,0.31976,0.32789,0.21707,1.56831,2.09453,1.48636,0.000414403,0.000414403,0.000414403
21,68.2847,0.85732,1.76426,1.0383,0.43847,0.35416,0.34637,0.23463,1.52131,2.09649,1.44223,0.00037774,0.00037774,0.00037774
22,70.3222,0.86756,1.75759,1.00991,0.52676,0.35313,0.34676,0.24198,1.47102,2.09569,1.36076,0.000341077,0.000341077,0.000341077
23,72.3534,0.83526,1.7202,0.99124,0.49974,0.34202,0.33929,0.23512,1.47851,2.07386,1.36843,0.000304414,0.000304414,0.000304414
24,74.4348,0.86208,1.67401,1.04884,0.46195,0.34202,0.33185,0.23609,1.48172,2.10576,1.3964,0.000267751,0.000267751,0.000267751
25,76.4597,0.79921,1.60348,0.98361,0.44309,0.33555,0.31786,0.22118,1.45622,2.14589,1.38785,0.000231088,0.000231088,0.000231088
26,78.4593,0.75083,1.57395,0.94903,0.51772,0.32231,0.31972,0.22544,1.49301,2.15792,1.41311,0.000194425,0.000194425,0.000194425
27,80.4713,0.73876,1.49867,0.96255,0.46958,0.34357,0.3201,0.22605,1.5049,2.14065,1.43111,0.000157762,0.000157762,0.000157762
28,82.7224,0.77527,1.50567,0.97015,0.49569,0.35313,0.32501,0.2373,1.47336,2.10266,1.41582,0.000121099,0.000121099,0.000121099
29,84.8524,0.76248,1.55255,0.96628,0.50148,0.34202,0.33855,0.24557,1.43856,2.10904,1.40132,8.4436e-05,8.4436e-05,8.4436e-05
30,86.9782,0.7605,1.52503,0.97326,0.51975,0.35313,0.3419,0.25286,1.41687,2.09035,1.39656,4.7773e-05,4.7773e-05,4.7773e-05
