epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.93227,1.72057,4.21646,1.60446,0.00591,0.51896,0.14642,0.09865,1.36317,3.77981,1.24384,0.00026664,0.00026664,0.00026664
2,15.1281,1.3382,2.7387,1.25973,0.93656,0.16211,0.29485,0.21098,1.36541,3.2404,1.25716,0.000532413,0.000532413,0.000532413
3,21.2009,1.30612,2.20772,1.2494,0.80037,0.2716,0.3969,0.25683,1.74003,2.9791,1.53894,0.000785966,0.000785966,0.000785966
4,27.0288,1.30483,2.03729,1.24297,0.72291,0.30421,0.40768,0.26048,1.68502,2.98788,1.49123,0.0010273,0.0010273,0.0010273
5,32.9779,1.273,1.91405,1.23019,0.56779,0.48135,0.45329,0.29696,1.78275,2.61163,1.60237,0.00101323,0.00101323,0.00101323
6,38.9917,1.25177,1.80165,1.22286,0.57278,0.46561,0.50611,0.33167,1.58876,2.36414,1.48858,0.00098879,0.00098879,0.00098879
7,44.9586,1.20601,1.68429,1.20097,0.70281,0.48551,0.52579,0.35576,1.45828,2.05775,1.3785,0.000964348,0.000964348,0.000964348
8,50.9084,1.19368,1.69017,1.19199,0.51946,0.54324,0.5194,0.34653,1.57296,2.45907,1.49271,0.000939906,0.000939906,0.000939906
9,56.7413,1.15618,1.57485,1.17207,0.64645,0.52387,0.52406,0.37913,1.51215,2.16069,1.38261,0.000915464,0.000915464,0.000915464
10,62.7222,1.1071,1.46194,1.14367,0.56896,0.57392,0.50974,0.3551,1.41443,2.02886,1.37694,0.000891022,0.000891022,0.000891022
11,68.6373,1.07373,1.36539,1.12633,0.69333,0.53844,0.5452,0.38836,1.56489,1.84463,1.40979,0.00086658,0.00086658,0.00086658
12,74.6457,1.13001,1.3551,1.15893,0.72228,0.56685,0.59324,0.42433,1.46375,1.79089,1.3826,0.000842138,0.000842138,0.000842138
13,80.6396,1.11107,1.31985,1.1272,0.76542,0.57014,0.58049,0.3913,1.48658,1.84534,1.37355,0.000817696,0.000817696,0.000817696
14,86.6792,1.12774,1.34663,1.16969,0.68349,0.56882,0.55646,0.40195,1.30996,1.89437,1.28956,0.000793254,0.000793254,0.000793254
15,92.8123,1.05709,1.19346,1.11085,0.68174,0.56344,0.55095,0.40027,1.30325,1.75565,1.30704,0.000768812,0.000768812,0.000768812
16,98.6808,1.12031,1.26184,1.15862,0.6809,0.49479,0.54773,0.3921,1.27964,1.89829,1.29592,0.00074437,0.00074437,0.00074437
17,104.422,1.02155,1.13288,1.09965,0.57612,0.59737,0.57673,0.4107,1.24807,1.67889,1.26289,0.000719928,0.000719928,0.000719928
