epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.75871,1.77271,4.74687,1.60669,0.0012,0.1204,0.00279,0.00179,2.01111,4.268,1.99847,0.00014443,0.00014443,0.00014443
2,7.51031,1.34567,4.11476,1.33825,0.00218,0.27232,0.08537,0.07246,1.52219,3.99615,1.42988,0.000294031,0.000294031,0.000294031
3,9.79971,1.20849,3.23545,1.18287,0.00399,0.5398,0.11648,0.09332,1.42632,3.80302,1.41866,0.000437472,0.000437472,0.000437472
4,12.004,1.18964,2.74888,1.15498,0.0051,0.59838,0.10828,0.08372,1.48401,3.66454,1.44942,0.000574754,0.000574754,0.000574754
5,14.1772,1.11387,2.4911,1.0956,0.00547,0.54242,0.13736,0.09189,1.46316,3.52645,1.46498,0.000705876,0.000705876,0.000705876
6,16.4114,1.16512,2.46466,1.14602,0.8,0.04956,0.16197,0.11308,1.51891,3.37709,1.51783,0.000830839,0.000830839,0.000830839
7,18.5719,1.1325,2.36801,1.12294,0.53875,0.04,0.18873,0.12873,1.56262,3.2323,1.53633,0.000949643,0.000949643,0.000949643
8,20.7435,1.15504,2.26945,1.13364,0.4182,0.22485,0.20968,0.15062,1.61413,2.755,1.60309,0.000957015,0.000957015,0.000957015
9,22.9237,1.07135,2.21781,1.10873,0.26926,0.13324,0.1872,0.12971,1.61367,2.94076,1.52778,0.000935018,0.000935018,0.000935018
10,25.1186,1.11388,2.24419,1.10787,0.25928,0.27636,0.18385,0.12925,1.48042,2.79356,1.43793,0.00091302,0.00091302,0.00091302
11,27.2634,1.12284,2.35031,1.14964,0.25605,0.27302,0.19187,0.1483,1.40089,2.7449,1.40803,0.000891022,0.000891022,0.000891022
12,29.5239,1.13368,2.05311,1.14953,0.35297,0.19286,0.2089,0.1557,1.43757,2.69941,1.39611,0.000869024,0.000869024,0.000869024
13,31.7381,1.09917,2.06352,1.09364,0.36394,0.22829,0.21007,0.17006,1.34776,2.56281,1.35014,0.000847026,0.000847026,0.000847026
14,33.9403,1.06607,1.95583,1.065,0.39212,0.32966,0.23479,0.18707,1.46797,2.46974,1.40932,0.000825029,0.000825029,0.000825029
15,36.2252,1.05926,1.89619,1.11829,0.33102,0.30387,0.24459,0.18273,1.48695,2.55239,1.41638,0.000803031,0.000803031,0.000803031
16,38.4727,1.05984,1.79649,1.1076,0.29012,0.32063,0.28113,0.20447,1.56207,2.29667,1.45803,0.000781033,0.000781033,0.000781033
17,40.6539,0.99997,1.76438,1.06577,0.31711,0.38061,0.28876,0.20775,1.4432,2.15801,1.3821,0.000759035,0.000759035,0.000759035
18,42.8608,1.00771,1.75016,1.0812,0.25135,0.33769,0.27017,0.19973,1.40536,2.13643,1.35399,0.000737037,0.000737037,0.000737037
19,45.0433,1.01016,1.85882,1.07996,0.27895,0.38949,0.25273,0.18324,1.51035,2.25023,1.42548,0.00071504,0.00071504,0.00071504
20,47.2619,0.9581,1.79159,1.05623,0.3457,0.39225,0.28238,0.1912,1.59981,2.21594,1.49222,0.000693042,0.000693042,0.000693042
21,49.7407,0.90886,1.57836,1.01333,0.34121,0.34928,0.3202,0.21847,1.52333,2.18534,1.41735,0.000671044,0.000671044,0.000671044
22,51.9925,0.92577,1.53934,1.03176,0.36048,0.31091,0.28871,0.22037,1.55667,2.22188,1.42355,0.000649046,0.000649046,0.000649046
23,54.2653,1.00875,1.77753,1.05078,0.41095,0.32442,0.29764,0.22827,1.55509,2.22104,1.42556,0.000627048,0.000627048,0.000627048
24,56.4658,0.90381,1.63669,1.04431,0.43011,0.3096,0.30419,0.23765,1.50822,2.157,1.41404,0.000605051,0.000605051,0.000605051
25,58.7606,0.90861,1.43505,0.99168,0.56091,0.29056,0.34862,0.24576,1.53158,2.13939,1.43857,0.000583053,0.000583053,0.000583053
26,61.1089,0.89249,1.57397,1.04447,0.47228,0.33204,0.35211,0.26464,1.47097,2.09957,1.37856,0.000561055,0.000561055,0.000561055
27,63.347,0.91507,1.42091,1.01353,0.4707,0.33321,0.34228,0.26675,1.45027,2.05794,1.36778,0.000539057,0.000539057,0.000539057
28,65.6329,0.85355,1.4377,0.98815,0.42951,0.34989,0.29828,0.22698,1.42478,2.09423,1.39997,0.000517059,0.000517059,0.000517059
29,68.0423,0.871,1.35232,1.0042,0.52463,0.33327,0.30151,0.23384,1.36065,1.93263,1.37642,0.000495062,0.000495062,0.000495062
30,70.5182,0.86053,1.27824,0.99872,0.4109,0.32681,0.28937,0.22517,1.42373,1.99838,1.40898,0.000473064,0.000473064,0.000473064
31,72.8663,0.89158,1.38631,1.02104,0.42378,0.31273,0.29193,0.22243,1.43331,2.06613,1.40196,0.000451066,0.000451066,0.000451066
32,75.1179,0.8542,1.37065,0.99968,0.42711,0.38167,0.29961,0.22576,1.48392,1.86487,1.40596,0.000429068,0.000429068,0.000429068
33,77.8195,0.82591,1.33882,1.00217,0.44985,0.37713,0.32719,0.24646,1.468,1.78695,1.39355,0.00040707,0.00040707,0.00040707
34,80.3053,0.84644,1.34501,1.0273,0.45596,0.369,0.32328,0.25047,1.38405,1.75982,1.34173,0.000385073,0.000385073,0.000385073
35,82.5309,0.80729,1.23233,1.00247,0.48969,0.36777,0.32741,0.25882,1.34941,1.76044,1.32452,0.000363075,0.000363075,0.000363075
36,84.7955,0.87371,1.41302,1.0121,0.47464,0.38218,0.33035,0.26089,1.37283,1.6807,1.34156,0.000341077,0.000341077,0.000341077
37,87.3484,0.8522,1.37988,1.03873,0.47173,0.39354,0.32575,0.26647,1.36581,1.72089,1.35298,0.000319079,0.000319079,0.000319079
38,89.7941,0.80988,1.37399,1.02282,0.50696,0.38584,0.3333,0.26918,1.34678,1.72472,1.34678,0.000297081,0.000297081,0.000297081
39,92.1997,0.83575,1.28052,1.00817,0.48963,0.37981,0.33538,0.27244,1.34662,1.75683,1.3594,0.000275084,0.000275084,0.000275084
40,94.4936,0.7963,1.26072,1.01061,0.49742,0.36778,0.32224,0.26268,1.3425,1.81656,1.36414,0.000253086,0.000253086,0.000253086
41,122.734,0.75597,1.2647,0.96412,0.34943,0.37131,0.2965,0.23775,1.36698,1.85546,1.3739,0.000231088,0.000231088,0.000231088
42,124.963,0.74257,1.24315,0.97116,0.38268,0.38242,0.30306,0.2432,1.41257,1.85485,1.40614,0.00020909,0.00020909,0.00020909
43,127.131,0.67103,1.22896,0.93833,0.36965,0.3681,0.29277,0.23311,1.4283,1.8564,1.41122,0.000187092,0.000187092,0.000187092
44,129.563,0.68223,1.28359,0.93544,0.35952,0.38242,0.30289,0.2426,1.46198,1.85241,1.43654,0.000165095,0.000165095,0.000165095
45,131.723,0.70754,1.18321,0.92864,0.49037,0.36072,0.32369,0.26213,1.43531,1.84541,1.42146,0.000143097,0.000143097,0.000143097
46,133.927,0.70716,1.20792,0.93771,0.49884,0.36638,0.32751,0.26109,1.43009,1.86658,1.41489,0.000121099,0.000121099,0.000121099
47,136.017,0.69953,1.16558,0.95373,0.49322,0.37131,0.32729,0.26098,1.43209,1.86538,1.40769,9.91012e-05,9.91012e-05,9.91012e-05
48,138.261,0.68839,1.16026,0.93958,0.48412,0.36865,0.32608,0.2561,1.4338,1.85524,1.40378,7.71034e-05,7.71034e-05,7.71034e-05
49,140.437,0.6963,1.22272,0.93307,0.49678,0.36886,0.32408,0.25424,1.43175,1.85775,1.40759,5.51056e-05,5.51056e-05,5.51056e-05
50,142.635,0.69943,1.18677,0.92765,0.50193,0.36868,0.32561,0.25729,1.42746,1.8393,1.40199,3.31078e-05,3.31078e-05,3.31078e-05
