epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.8892,1.65407,4.52079,1.55,0.00146,0.15152,0.02867,0.02525,1.74827,4.45492,1.56672,0.00014443,0.00014443,0.00014443
2,49.255,1.24255,3.88919,1.27637,0.00308,0.36343,0.06406,0.05204,1.56969,4.20116,1.4093,0.000294031,0.000294031,0.000294031
3,73.506,1.12613,3.02124,1.13696,0.00452,0.56505,0.06395,0.04962,1.46305,3.99433,1.33669,0.000437472,0.000437472,0.000437472
4,97.7511,1.15283,2.59247,1.11413,0.5663,0.16,0.1162,0.09256,1.7042,3.91927,1.54052,0.000574754,0.000574754,0.000574754
5,122.4,1.14247,2.47158,1.14295,0.73952,0.19429,0.14129,0.10123,1.67533,3.58786,1.47621,0.000705876,0.000705876,0.000705876
6,158.273,1.07079,2.22115,1.09524,0.55981,0.07962,0.21122,0.14331,1.53369,3.51203,1.42376,0.000830839,0.000830839,0.000830839
7,191.783,1.13985,2.42251,1.12234,0.41538,0.16663,0.22963,0.15831,1.56138,3.35247,1.43923,0.000949643,0.000949643,0.000949643
8,224.908,1.1025,2.31523,1.07754,0.45073,0.26121,0.23889,0.14087,1.55643,3.02421,1.43309,0.000957015,0.000957015,0.000957015
9,257.775,1.04447,2.14271,1.0685,0.28105,0.28808,0.24759,0.17253,1.63626,3.14727,1.51031,0.000935018,0.000935018,0.000935018
10,296.329,1.06905,2.23592,1.1086,0.31166,0.18348,0.26312,0.18879,1.61163,3.51157,1.49376,0.00091302,0.00091302,0.00091302
11,329.271,1.00104,1.87133,1.04857,0.38541,0.25414,0.257,0.17967,1.58006,3.56112,1.47939,0.000891022,0.000891022,0.000891022
12,362.11,0.96001,1.77684,1.01659,0.38629,0.33899,0.25869,0.1794,1.58852,2.78433,1.49362,0.000869024,0.000869024,0.000869024
13,392.719,1.00142,1.82385,1.05926,0.29434,0.27617,0.24499,0.17061,1.63411,2.74631,1.4908,0.000847026,0.000847026,0.000847026
14,426.578,0.98233,2.00481,1.05259,0.37513,0.26386,0.26636,0.16991,1.66235,2.70533,1.5179,0.000825029,0.000825029,0.000825029
15,459.241,1.04334,1.83514,1.04928,0.42722,0.27069,0.26406,0.16284,1.64359,2.59903,1.50569,0.000803031,0.000803031,0.000803031
16,491.147,0.94538,1.74256,1.0306,0.34405,0.33071,0.32657,0.19201,1.63232,2.51016,1.4711,0.000781033,0.000781033,0.000781033
17,520.739,0.98646,1.71009,1.06167,0.34907,0.3389,0.28435,0.1918,1.54098,2.5056,1.44032,0.000759035,0.000759035,0.000759035
18,550.194,0.90581,1.70803,1.02498,0.36952,0.371,0.27796,0.19343,1.44899,2.46886,1.37534,0.000737037,0.000737037,0.000737037
19,578.938,0.90199,1.51476,1.02294,0.42428,0.3402,0.29027,0.20617,1.45821,2.45881,1.37706,0.00071504,0.00071504,0.00071504
20,609.355,0.87344,1.53767,1.00224,0.38557,0.35131,0.27368,0.18339,1.43466,2.62174,1.35633,0.000693042,0.000693042,0.000693042
21,639.072,0.86642,1.41266,0.98565,0.31654,0.22467,0.24424,0.17023,1.50163,2.9011,1.3746,0.000671044,0.000671044,0.000671044
22,672.849,0.91784,1.57568,1.02994,0.30127,0.3019,0.25838,0.17408,1.58537,2.82724,1.4144,0.000649046,0.000649046,0.000649046
23,700.028,0.91166,1.58502,1.06802,0.39563,0.28578,0.27673,0.18844,1.60234,2.8065,1.4124,0.000627048,0.000627048,0.000627048
24,728.684,0.91898,1.48162,1.03801,0.37973,0.31969,0.30262,0.22676,1.46897,2.68966,1.32086,0.000605051,0.000605051,0.000605051
25,758.312,0.79168,1.41727,0.96597,0.4059,0.34727,0.30589,0.22663,1.47702,2.59525,1.33869,0.000583053,0.000583053,0.000583053
26,789.537,0.89204,1.47106,1.00935,0.45064,0.36944,0.30732,0.22751,1.47315,2.42117,1.36401,0.000561055,0.000561055,0.000561055
27,817.302,0.82506,1.33357,0.97962,0.40575,0.37687,0.29133,0.20789,1.45267,2.36981,1.34332,0.000539057,0.000539057,0.000539057
28,847.612,0.85792,1.32021,1.02259,0.40315,0.33335,0.283,0.18564,1.47467,2.70263,1.34709,0.000517059,0.000517059,0.000517059
29,885.798,0.86238,1.48021,1.02202,0.37367,0.34604,0.29748,0.1908,1.61453,2.58667,1.40962,0.000495062,0.000495062,0.000495062
30,921.691,0.86491,1.44397,1.00923,0.37252,0.35168,0.28879,0.19314,1.62274,2.46554,1.42185,0.000473064,0.000473064,0.000473064
31,955.935,0.799,1.36183,0.96474,0.37275,0.28252,0.28235,0.19735,1.58956,2.48675,1.4041,0.000451066,0.000451066,0.000451066
32,990.159,0.88437,1.43625,1.03496,0.36941,0.36242,0.29232,0.21232,1.52599,2.46745,1.37515,0.000429068,0.000429068,0.000429068
33,1023.36,0.82645,1.30017,0.96223,0.38483,0.38242,0.3086,0.22044,1.49975,2.31782,1.37011,0.00040707,0.00040707,0.00040707
34,1057.77,0.81281,1.23176,0.98808,0.36488,0.36546,0.29026,0.21567,1.47175,2.1846,1.35082,0.000385073,0.000385073,0.000385073
35,1091.51,0.81594,1.2705,0.9943,0.36599,0.38242,0.29639,0.2189,1.45287,2.14124,1.34171,0.000363075,0.000363075,0.000363075
36,1126.37,0.78227,1.14068,0.95675,0.38587,0.38242,0.28677,0.21136,1.46634,2.14106,1.34133,0.000341077,0.000341077,0.000341077
37,1158.13,0.73798,1.14351,0.96696,0.40994,0.38242,0.296,0.21339,1.49809,2.24338,1.34241,0.000319079,0.000319079,0.000319079
38,1191.7,0.75581,1.11592,0.96631,0.4161,0.29987,0.29116,0.21321,1.50333,2.24716,1.34164,0.000297081,0.000297081,0.000297081
