epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.48013,2.07535,4.81255,1.76876,0.0005,0.06,0.00103,0.00026,2.41734,4.42669,2.45975,6.666e-05,6.666e-05,6.666e-05
2,7.0042,1.72115,4.49409,1.49877,0.00098,0.13818,0.00352,0.00202,1.69418,4.07799,1.57275,0.000143,0.000143,0.000143
3,9.42171,1.21423,3.91278,1.20736,0.00156,0.24909,0.03955,0.02441,1.41748,4.06501,1.29942,0.0002178,0.0002178,0.0002178
4,11.646,1.14551,3.6221,1.1461,0.01038,0.43576,0.05314,0.0366,1.49453,3.92569,1.33293,0.000291061,0.000291061,0.000291061
5,13.9313,1.1783,3.32856,1.1572,0.00645,0.44687,0.07292,0.04919,1.51902,3.88499,1.371,0.000362781,0.000362781,0.000362781
6,16.1845,1.22556,2.92945,1.18376,0.00464,0.37051,0.06818,0.05582,1.67809,3.88543,1.50624,0.000432962,0.000432962,0.000432962
7,18.5344,1.13024,2.45189,1.14631,0.00522,0.44687,0.09534,0.06901,1.79612,3.85691,1.60462,0.000501603,0.000501603,0.000501603
8,20.8261,1.21038,2.41787,1.18637,0.00457,0.41051,0.08186,0.06375,1.62073,3.8003,1.4857,0.000568704,0.000568704,0.000568704
9,23.0886,1.1566,2.30631,1.15874,0.00392,0.47212,0.1127,0.07686,1.73337,3.76516,1.48426,0.000634265,0.000634265,0.000634265
10,25.2956,1.10445,2.15411,1.11793,0.00369,0.43212,0.13596,0.09747,1.82754,3.71055,1.61087,0.000698287,0.000698287,0.000698287
11,27.4682,1.18724,2.23807,1.17598,0.00511,0.4996,0.1691,0.10679,1.64512,3.63491,1.52186,0.000760768,0.000760768,0.000760768
12,29.7533,1.11571,2.04211,1.13036,0.75971,0.08,0.14326,0.10304,1.72942,3.5822,1.61409,0.00082171,0.00082171,0.00082171
13,31.9652,1.1683,2.19844,1.15656,0.75702,0.07405,0.13923,0.09613,1.71341,3.61804,1.61377,0.000881112,0.000881112,0.000881112
14,34.204,1.17161,2.13589,1.14221,0.53533,0.08419,0.12089,0.08794,1.72341,3.56316,1.70024,0.000938974,0.000938974,0.000938974
15,36.442,1.12458,1.96382,1.12047,0.53196,0.07794,0.15932,0.11089,1.64855,3.39192,1.6471,0.000957015,0.000957015,0.000957015
16,38.7612,1.10183,1.88448,1.15279,0.59455,0.21494,0.24228,0.12919,1.65795,3.14957,1.6717,0.000946016,0.000946016,0.000946016
17,41.1405,1.03485,1.7876,1.09961,0.60034,0.26744,0.23181,0.11903,1.66338,3.05599,1.65404,0.000935018,0.000935018,0.000935018
18,43.3702,1.05016,1.70612,1.07201,0.32905,0.19575,0.21221,0.11685,1.69139,2.96725,1.60377,0.000924019,0.000924019,0.000924019
19,45.6691,1.03726,1.6833,1.09929,0.256,0.20109,0.19546,0.12704,1.68025,2.87881,1.66609,0.00091302,0.00091302,0.00091302
20,48.1779,1.06197,1.65922,1.10378,0.44858,0.19455,0.20492,0.14309,1.7048,2.89889,1.6088,0.000902021,0.000902021,0.000902021
21,50.424,0.97816,1.71313,1.07026,0.39513,0.22384,0.25078,0.15563,1.69275,3.00435,1.60248,0.000891022,0.000891022,0.000891022
22,52.6201,1.057,1.70007,1.09365,0.37076,0.20566,0.22766,0.15951,1.72185,2.97036,1.63006,0.000880023,0.000880023,0.000880023
