epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.07519,1.55314,3.9534,1.43233,0.82774,0.17949,0.27078,0.1715,1.55607,3.36342,1.33346,0.000362927,0.000362927,0.000362927
2,15.868,1.30007,2.56794,1.24297,0.42542,0.34435,0.36025,0.23967,1.61727,2.77918,1.40676,0.000718741,0.000718741,0.000718741
3,22.4767,1.30385,2.28881,1.25864,0.67216,0.33396,0.39199,0.25475,1.65647,2.75196,1.55583,0.00105989,0.00105989,0.00105989
4,29.0577,1.28557,2.1508,1.22784,0.43554,0.4647,0.401,0.26294,1.56325,2.41088,1.50543,0.00104501,0.00104501,0.00104501
5,35.8538,1.23393,1.86151,1.20548,0.46744,0.49019,0.44284,0.29905,1.49474,2.36913,1.43014,0.00102301,0.00102301,0.00102301
6,42.8388,1.22026,1.78531,1.20138,0.51125,0.47501,0.46862,0.33056,1.5466,2.14132,1.42052,0.00100101,0.00100101,0.00100101
7,49.7755,1.15034,1.68832,1.15491,0.62832,0.50119,0.4763,0.34407,1.39345,2.04137,1.40421,0.000979013,0.000979013,0.000979013
8,56.7625,1.20574,1.61376,1.21559,0.5452,0.52338,0.47021,0.33124,1.46652,1.93114,1.4083,0.000957015,0.000957015,0.000957015
9,63.6956,1.16406,1.54371,1.17094,0.62219,0.52554,0.5178,0.33036,1.62587,1.86488,1.43983,0.000935018,0.000935018,0.000935018
10,70.6725,1.11715,1.55956,1.14986,0.59162,0.55969,0.50521,0.35894,1.40272,1.77875,1.35337,0.00091302,0.00091302,0.00091302
11,77.8671,1.10918,1.35186,1.15764,0.62669,0.59001,0.51702,0.35279,1.33927,1.73407,1.30239,0.000891022,0.000891022,0.000891022
12,85.24,1.07425,1.30788,1.09622,0.63633,0.53757,0.53372,0.36307,1.50243,1.87705,1.34937,0.000869024,0.000869024,0.000869024
13,92.3215,1.0689,1.29922,1.14157,0.70786,0.57757,0.57564,0.40169,1.35886,1.77212,1.28953,0.000847026,0.000847026,0.000847026
14,99.1998,1.04006,1.24879,1.11194,0.72161,0.51724,0.54076,0.38789,1.3701,1.95814,1.2891,0.000825029,0.000825029,0.000825029
15,106.052,1.05178,1.23593,1.11683,0.75585,0.57415,0.58004,0.38522,1.47269,1.81154,1.32348,0.000803031,0.000803031,0.000803031
16,112.944,0.99939,1.13008,1.08997,0.66742,0.50238,0.52905,0.38537,1.29823,1.84335,1.28319,0.000781033,0.000781033,0.000781033
17,119.838,1.0075,1.07542,1.0788,0.69639,0.56403,0.55821,0.39589,1.42115,1.65016,1.34275,0.000759035,0.000759035,0.000759035
18,126.685,1.0427,1.117,1.12192,0.7241,0.58684,0.56149,0.37927,1.38597,1.69799,1.31939,0.000737037,0.000737037,0.000737037
19,133.594,1.04478,1.06069,1.10543,0.75729,0.60846,0.57318,0.41025,1.38119,1.69917,1.32819,0.00071504,0.00071504,0.00071504
20,140.399,0.97351,0.98436,1.09253,0.70943,0.59401,0.58326,0.41037,1.36122,1.77176,1.30588,0.000693042,0.000693042,0.000693042
21,147.31,1.00601,1.10061,1.10658,0.63861,0.58836,0.5574,0.41627,1.40357,1.79347,1.33393,0.000671044,0.000671044,0.000671044
22,154.199,0.92687,0.91355,1.04509,0.60551,0.61401,0.54315,0.4044,1.34747,1.85657,1.30534,0.000649046,0.000649046,0.000649046
23,161.078,0.9417,0.98127,1.07389,0.77541,0.53967,0.56748,0.40484,1.40944,1.76921,1.34258,0.000627048,0.000627048,0.000627048
24,168.021,0.92878,0.93538,1.0589,0.70933,0.59548,0.57675,0.40026,1.43135,1.81515,1.34091,0.000605051,0.000605051,0.000605051
25,174.802,0.93093,0.89182,1.07334,0.73034,0.61516,0.59266,0.42536,1.32776,1.553,1.29395,0.000583053,0.000583053,0.000583053
26,181.837,0.89698,0.89393,1.05515,0.76849,0.61653,0.60534,0.42132,1.35226,1.5118,1.31006,0.000561055,0.000561055,0.000561055
27,188.648,0.89957,0.85593,1.04626,0.70736,0.61437,0.61835,0.45011,1.29065,1.54873,1.28035,0.000539057,0.000539057,0.000539057
28,195.742,0.91169,0.84428,1.03971,0.75107,0.58909,0.59697,0.43963,1.2462,1.57246,1.28322,0.000517059,0.000517059,0.000517059
29,202.42,0.89499,0.82599,1.05037,0.76482,0.61053,0.62577,0.45545,1.25775,1.5293,1.26904,0.000495062,0.000495062,0.000495062
30,209.227,0.87938,0.82739,1.03864,0.73147,0.55813,0.59065,0.43758,1.23805,1.61028,1.26458,0.000473064,0.000473064,0.000473064
31,215.818,0.88096,0.85111,1.04418,0.74369,0.59368,0.59637,0.43622,1.35916,1.70013,1.33686,0.000451066,0.000451066,0.000451066
32,222.408,0.81725,0.8275,0.9855,0.73321,0.57356,0.59934,0.43754,1.30378,1.64912,1.31459,0.000429068,0.000429068,0.000429068
33,228.947,0.82829,0.74734,0.9987,0.76565,0.60853,0.58446,0.42079,1.33736,1.67759,1.33771,0.00040707,0.00040707,0.00040707
34,235.525,0.85415,0.80617,1.0175,0.68398,0.60977,0.60024,0.4424,1.25652,1.58705,1.27469,0.000385073,0.000385073,0.000385073
35,242.226,0.80042,0.74316,0.99407,0.72899,0.60588,0.61553,0.44939,1.30864,1.70513,1.31678,0.000363075,0.000363075,0.000363075
36,248.942,0.82728,0.73631,1.0036,0.7848,0.57715,0.61835,0.46177,1.33144,1.60233,1.30966,0.000341077,0.000341077,0.000341077
37,255.591,0.82576,0.75073,1.00146,0.80247,0.59852,0.63072,0.47236,1.26851,1.50397,1.27602,0.000319079,0.000319079,0.000319079
38,262.334,0.77734,0.69302,0.99342,0.77286,0.63381,0.63208,0.47567,1.23416,1.46637,1.25712,0.000297081,0.000297081,0.000297081
39,268.867,0.81448,0.70221,1.01057,0.68386,0.57073,0.59171,0.43354,1.28982,1.62863,1.26939,0.000275084,0.000275084,0.000275084
40,275.47,0.77279,0.7118,0.99953,0.8326,0.58559,0.60847,0.45052,1.24622,1.60366,1.26037,0.000253086,0.000253086,0.000253086
41,306.262,0.72247,0.63978,0.95346,0.7586,0.59966,0.60965,0.45505,1.31421,1.77237,1.32286,0.000231088,0.000231088,0.000231088
42,313.275,0.707,0.61822,0.9593,0.78707,0.60153,0.61184,0.45285,1.28022,1.703,1.29388,0.00020909,0.00020909,0.00020909
43,320.326,0.67923,0.61501,0.94557,0.75268,0.59723,0.60618,0.45401,1.23706,1.67063,1.26444,0.000187092,0.000187092,0.000187092
44,327.842,0.65892,0.58382,0.9313,0.74788,0.61798,0.61941,0.47343,1.24848,1.68183,1.27977,0.000165095,0.000165095,0.000165095
45,334.532,0.6453,0.58067,0.91001,0.80248,0.59548,0.6313,0.47615,1.22531,1.56315,1.25107,0.000143097,0.000143097,0.000143097
46,342.203,0.62374,0.55705,0.90318,0.77964,0.6181,0.62802,0.47686,1.23563,1.5866,1.25134,0.000121099,0.000121099,0.000121099
47,348.858,0.62659,0.56886,0.9198,0.78085,0.61731,0.63105,0.48291,1.24786,1.5949,1.25734,9.91012e-05,9.91012e-05,9.91012e-05
48,355.439,0.59715,0.5349,0.90428,0.76775,0.61767,0.62773,0.48219,1.22634,1.56083,1.24262,7.71034e-05,7.71034e-05,7.71034e-05
49,362.026,0.60605,0.55003,0.89704,0.79799,0.61271,0.63733,0.48603,1.22316,1.57406,1.23529,5.51056e-05,5.51056e-05,5.51056e-05
50,368.665,0.60216,0.51332,0.90542,0.82952,0.59408,0.63277,0.48114,1.22056,1.57582,1.22678,3.31078e-05,3.31078e-05,3.31078e-05
